director_name,actor_3_name,actor_2_name,actor_1_name,genres,movie_title
James Cameron,Wes Studi,Joel David Moore,CCH Pounder,Action Adventure Fantasy Sci-Fi,avatar
Gore Verbinski,Jack Davenport,Orlando Bloom,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: at world's end
Sam Mendes,Stephanie Sigman,Rory Kinnear,Christoph Waltz,Action Adventure Thriller,spectre
Christopher Nolan,Joseph Gordon-Levitt,Christian Bale,Tom Hardy,Action Thriller,the dark knight rises
Doug Walker,unknown,Rob Walker,Doug Walker,Documentary,star wars: episode vii - the force awakens            
Andrew Stanton,Polly Walker,Samantha Morton,Daryl Sabara,Action Adventure Sci-Fi,john carter
Sam Raimi,Kirsten Dunst,James Franco,J.K. Simmons,Action Adventure Romance,spider-man 3
Nathan Greno,M.C. Gainey,Donna Murphy,Brad Garrett,Adventure Animation Comedy Family Fantasy Musical Romance,tangled
Joss Whedon,Scarlett Johansson,Robert Downey Jr.,Chris Hemsworth,Action Adventure Sci-Fi,avengers: age of ultron
David Yates,Rupert Grint,Daniel Radcliffe,Alan Rickman,Adventure Family Fantasy Mystery,harry potter and the half-blood prince
Zack Snyder,Alan D. Purwin,Lauren Cohan,Henry Cavill,Action Adventure Sci-Fi,batman v superman: dawn of justice
Bryan Singer,Frank Langella,Marlon Brando,Kevin Spacey,Action Adventure Sci-Fi,superman returns
Marc Forster,Rory Kinnear,Mathieu Amalric,Giancarlo Giannini,Action Adventure,quantum of solace
Gore Verbinski,Jack Davenport,Orlando Bloom,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: dead man's chest
Gore Verbinski,Tom Wilkinson,Ruth Wilson,Johnny Depp,Action Adventure Western,the lone ranger
Zack Snyder,Harry Lennix,Christopher Meloni,Henry Cavill,Action Adventure Fantasy Sci-Fi,man of steel
Andrew Adamson,Damián Alcázar,Pierfrancesco Favino,Peter Dinklage,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian
Joss Whedon,Scarlett Johansson,Robert Downey Jr.,Chris Hemsworth,Action Adventure Sci-Fi,the avengers
Rob Marshall,Stephen Graham,Sam Claflin,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Nicole Scherzinger,Michael Stuhlbarg,Will Smith,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3
Peter Jackson,James Nesbitt,Adam Brown,Aidan Turner,Adventure Fantasy,the hobbit: the battle of the five armies
Marc Webb,Chris Zylka,Andrew Garfield,Emma Stone,Action Adventure Fantasy,the amazing spider-man
Ridley Scott,Scott Grimes,William Hurt,Mark Addy,Action Adventure Drama History,robin hood
Peter Jackson,James Nesbitt,Adam Brown,Aidan Turner,Adventure Fantasy,the hobbit: the desolation of smaug
Chris Weitz,Kristin Scott Thomas,Eva Green,Christopher Lee,Adventure Family Fantasy,the golden compass
Peter Jackson,Evan Parke,Thomas Kretschmann,Naomi Watts,Action Adventure Drama Romance,king kong
James Cameron,Gloria Stuart,Kate Winslet,Leonardo DiCaprio,Drama Romance,titanic
